dominant topic,prob,doc_id
0,0.7316563,24
0,0.6210144,604
1,0.8428392,398
1,0.76433635,154
2,0.6655939,70
2,0.63299334,44
3,0.7416305,55
3,0.6803297,541
4,0.85814214,4
4,0.8264824,136
5,0.60222906,439
5,0.602229,64
6,0.7249324,217
6,0.6768641,381
7,0.5927199,636
7,0.5560894,86
8,0.73580575,126
8,0.6619514,247
9,0.78915966,538
9,0.78095853,90
