id,odd
48,"[(0, 0.2016301), (1, 0.028922891), (2, 0.18095148), (4, 0.015231784), (6, 0.131162), (7, 0.018365994), (8, 0.18375598), (9, 0.23783793)]"
49,"[(1, 0.027997954), (2, 0.2602703), (4, 0.06386205), (7, 0.030060194), (8, 0.23725626), (9, 0.37530473)]"
50,"[(0, 0.11048485), (2, 0.08841423), (3, 0.011546257), (4, 0.29632494), (6, 0.06228527), (7, 0.27080542), (8, 0.05283288), (9, 0.106588334)]"
51,"[(0, 0.09670481), (2, 0.060352735), (4, 0.3187555), (5, 0.023308463), (7, 0.06188472), (8, 0.043475624), (9, 0.39168307)]"
52,"[(0, 0.09874993), (2, 0.18210274), (3, 0.020491984), (4, 0.5690781), (7, 0.061035916), (9, 0.06477287)]"
53,"[(0, 0.553177), (2, 0.10560127), (4, 0.1757508), (5, 0.014642054), (7, 0.0937589), (9, 0.0539487)]"
54,"[(0, 0.22125946), (2, 0.23760062), (4, 0.1635139), (7, 0.12551925), (8, 0.116627604), (9, 0.13032629)]"
55,"[(2, 0.10034622), (3, 0.09221505), (4, 0.23981516), (9, 0.563637)]"
56,"[(1, 0.04151711), (2, 0.057407808), (4, 0.07834523), (7, 0.44475892), (8, 0.2393952), (9, 0.120009534)]"
57,"[(4, 0.019447679), (7, 0.3017233), (8, 0.125333), (9, 0.5484703)]"
58,"[(0, 0.011334156), (2, 0.024035862), (4, 0.13859618), (5, 0.019738166), (7, 0.04188333), (8, 0.23841082), (9, 0.51669335)]"
59,"[(0, 0.043256346), (1, 0.02581058), (2, 0.025859369), (4, 0.4121491), (7, 0.02902798), (8, 0.114128724), (9, 0.34076577)]"
60,"[(0, 0.13538566), (1, 0.012676989), (2, 0.18897638), (4, 0.14613834), (7, 0.04330741), (9, 0.47082025)]"
61,"[(0, 0.53430873), (1, 0.0848021), (2, 0.11064652), (4, 0.16101427), (5, 0.034410775), (7, 0.059147798), (9, 0.011312347)]"
62,"[(0, 0.26179925), (1, 0.1436061), (2, 0.0156065915), (3, 0.035455033), (4, 0.51046306), (6, 0.031496167)]"
63,"[(0, 0.10090673), (2, 0.15041892), (4, 0.102457024), (5, 0.036884684), (6, 0.605483)]"
64,"[(0, 0.052231062), (3, 0.13048534), (4, 0.6084267), (6, 0.122125275), (9, 0.08085993)]"
65,"[(0, 0.04176757), (2, 0.02639433), (3, 0.037168257), (4, 0.049048427), (6, 0.83720106)]"
66,"[(0, 0.13966772), (1, 0.01504711), (2, 0.025931958), (4, 0.42101577), (6, 0.28718737), (7, 0.021287791), (9, 0.08788491)]"
67,"[(0, 0.101752646), (1, 0.035978608), (2, 0.1182238), (3, 0.14043792), (4, 0.44140926), (5, 0.017692884), (6, 0.07334318), (7, 0.051549762), (9, 0.019162925)]"
68,"[(2, 0.1546017), (4, 0.62153155), (6, 0.2045717), (7, 0.014134566)]"
69,"[(0, 0.22859241), (2, 0.025792385), (3, 0.05610274), (4, 0.6013423), (6, 0.026664376), (9, 0.054017656)]"
